time	V(n009)
3.439817759124219e-04	2.054067e+00
3.449817759124219e-04	2.101352e+00
3.459817759124220e-04	2.159074e+00
3.469817759124220e-04	2.227192e+00
3.479817759124220e-04	2.305037e+00
3.489817759124220e-04	2.390525e+00
3.499817759124221e-04	2.480589e+00
3.509817759124221e-04	2.571380e+00
3.519817759124221e-04	2.658925e+00
3.529817759124221e-04	2.739837e+00
3.539817759124222e-04	2.811727e+00
3.549817759124222e-04	2.873401e+00
3.559817759124222e-04	2.924678e+00
3.569817759124222e-04	2.966110e+00
3.579817759124223e-04	2.998628e+00
3.599817759124223e-04	3.041200e+00
3.609817759124223e-04	3.052721e+00
3.626799277302057e-04	3.060165e+00
3.635429700249495e-04	3.058132e+00
3.649464128954442e-04	3.046275e+00
3.672094412227219e-04	3.001371e+00
3.682094412227219e-04	2.969491e+00
3.684594412227219e-04	2.959883e+00
3.689594412227219e-04	2.939470e+00
3.699417402099089e-04	2.891831e+00
3.709417402099089e-04	2.832828e+00
3.719417402099089e-04	2.763336e+00
3.729417402099089e-04	2.684097e+00
3.739417402099090e-04	2.597284e+00
3.749417402099090e-04	2.506052e+00
3.759417402099090e-04	2.414314e+00
3.769417402099090e-04	2.326068e+00
3.779417402099091e-04	2.244690e+00
3.789417402099091e-04	2.172530e+00
3.799417402099091e-04	2.110729e+00
3.809417402099091e-04	2.059417e+00
3.819417402099092e-04	2.017996e+00
3.829417402099092e-04	1.985502e+00
3.849417402099092e-04	1.942922e+00
3.859417402099092e-04	1.931344e+00
3.876645786710820e-04	1.923671e+00
3.885179791283186e-04	1.925584e+00
3.899058512294532e-04	1.936940e+00
3.921445692338204e-04	1.980116e+00
3.931445692338204e-04	2.011191e+00
3.933945692338204e-04	2.020579e+00
3.938945692338204e-04	2.040545e+00
3.948945692338204e-04	2.088221e+00
3.958945692338204e-04	2.146542e+00
3.968945692338205e-04	2.215524e+00
3.978945692338205e-04	2.294561e+00
3.988945692338205e-04	2.381611e+00
3.998945692338205e-04	2.473609e+00
4.008945692338206e-04	2.566652e+00
4.018945692338206e-04	2.656659e+00
4.028945692338206e-04	2.740104e+00
4.038945692338206e-04	2.814452e+00
4.048945692338207e-04	2.878397e+00
4.058945692338207e-04	2.931683e+00
4.068945692338207e-04	2.974831e+00
4.078945692338207e-04	3.008777e+00
4.098945692338207e-04	3.053452e+00
4.108945692338208e-04	3.065705e+00
4.126464624150101e-04	3.074070e+00
4.134884822690078e-04	3.072206e+00
4.148579680434947e-04	3.060887e+00
4.170679378969541e-04	3.017762e+00
4.180679378969541e-04	2.986320e+00
4.183179378969541e-04	2.976819e+00
4.188179378969541e-04	2.956611e+00
4.197932896708871e-04	2.909662e+00
4.207914132600559e-04	2.851008e+00
4.217914132600559e-04	2.781476e+00
4.227914132600559e-04	2.701757e+00
4.237914132600560e-04	2.613889e+00
4.247914132600560e-04	2.520946e+00
4.257914132600560e-04	2.426857e+00
4.267914132600560e-04	2.335748e+00
4.277914132600561e-04	2.251202e+00
4.287914132600561e-04	2.175805e+00
4.297914132600561e-04	2.110904e+00
4.307914132600561e-04	2.056773e+00
4.317914132600562e-04	2.012893e+00
4.327914132600562e-04	1.978315e+00
4.337914132600562e-04	1.951939e+00
4.357914132600562e-04	1.919709e+00
4.367914132600562e-04	1.912624e+00
4.379860433338904e-04	1.910928e+00
4.390412435253007e-04	1.915734e+00
4.407535924626819e-04	1.937069e+00
4.417535924626819e-04	1.958180e+00
4.420566796970272e-04	1.966303e+00
4.426628541657178e-04	1.984078e+00
4.435511540866010e-04	2.016254e+00
4.445511540866011e-04	2.061734e+00
4.455511540866011e-04	2.117671e+00
4.465511540866011e-04	2.184726e+00
4.475511540866011e-04	2.262341e+00
4.485511540866012e-04	2.348988e+00
4.495511540866012e-04	2.441857e+00
4.505511540866012e-04	2.537152e+00
4.515511540866012e-04	2.630710e+00
4.525511540866013e-04	2.718643e+00
4.535511540866013e-04	2.798003e+00
4.545511540866013e-04	2.867028e+00
4.555511540866013e-04	2.925137e+00
4.565511540866014e-04	2.972632e+00
4.575511540866014e-04	3.010373e+00
4.585511540866014e-04	3.039436e+00
4.605511540866014e-04	3.075807e+00
4.615511540866014e-04	3.084452e+00
4.628959199078837e-04	3.087610e+00
4.638945811063250e-04	3.083552e+00
4.655163439624708e-04	3.064634e+00
4.658413648310642e-04	3.058677e+00
4.664914065682509e-04	3.045173e+00
4.672884131125354e-04	3.023891e+00
4.681548274977948e-04	2.994583e+00
4.683714310941097e-04	2.986058e+00
4.688046382867393e-04	2.968077e+00
4.696710526719987e-04	2.926059e+00
4.706342039588200e-04	2.869644e+00
4.716342039588201e-04	2.800241e+00
4.726342039588201e-04	2.720235e+00
4.736342039588201e-04	2.631490e+00
4.746342039588201e-04	2.536997e+00
4.756342039588202e-04	2.440667e+00
4.766342039588202e-04	2.346741e+00
4.776342039588202e-04	2.259007e+00
4.786342039588202e-04	2.180293e+00
4.796342039588203e-04	2.112174e+00
4.806342039588203e-04	2.055087e+00
4.816342039588203e-04	2.008607e+00
4.826342039588203e-04	1.971812e+00
4.836342039588204e-04	1.943586e+00
4.856342039588204e-04	1.908576e+00
4.866342039588204e-04	1.900473e+00
4.879271270545894e-04	1.897882e+00
4.889453700560858e-04	1.902238e+00
4.905985378006913e-04	1.922121e+00
4.909295434947194e-04	1.928356e+00
4.915915548827754e-04	1.942497e+00
4.925248033627197e-04	1.968627e+00
4.934816234565082e-04	2.003345e+00
4.944816234565083e-04	2.049115e+00
4.954816234565083e-04	2.105768e+00
4.964816234565083e-04	2.173632e+00
4.974816234565083e-04	2.252404e+00
4.984816234565084e-04	2.340525e+00
4.994816234565084e-04	2.435186e+00
5.004816234565084e-04	2.532587e+00
5.014816234565084e-04	2.628442e+00
5.024816234565085e-04	2.718771e+00
5.034816234565085e-04	2.800475e+00
5.044816234565085e-04	2.871692e+00
5.054816234565085e-04	2.931754e+00
5.064816234565086e-04	2.980935e+00
5.074816234565086e-04	3.020082e+00
5.084816234565086e-04	3.050295e+00
5.104816234565087e-04	3.088312e+00
5.114816234565087e-04	3.097510e+00
5.128697432198396e-04	3.101158e+00
5.138519761565190e-04	3.097237e+00
5.154473671853301e-04	3.078726e+00
5.157673465427396e-04	3.072884e+00
5.164073052575584e-04	3.059643e+00
5.172012093115613e-04	3.038517e+00
5.180604329614743e-04	3.009503e+00
5.182752388739525e-04	3.001054e+00
5.187048506989090e-04	2.983233e+00
5.195640743488220e-04	2.941578e+00
5.205383241318102e-04	2.884358e+00
5.215383241318103e-04	2.814490e+00
5.225383241318103e-04	2.733683e+00
5.235383241318103e-04	2.643719e+00
5.245383241318103e-04	2.547544e+00
5.255383241318103e-04	2.449088e+00
5.265383241318104e-04	2.352684e+00
5.275383241318104e-04	2.262273e+00
5.285383241318104e-04	2.180856e+00
5.295383241318104e-04	2.110164e+00
5.305383241318105e-04	2.050747e+00
5.315383241318105e-04	2.002238e+00
5.325383241318105e-04	1.963732e+00
5.335383241318105e-04	1.934098e+00
5.355383241318106e-04	1.897032e+00
5.365383241318106e-04	1.888219e+00
5.378910932386620e-04	1.884995e+00
5.388867254585218e-04	1.889129e+00
5.405036276425741e-04	1.908317e+00
5.408277203707789e-04	1.914356e+00
5.414759058271885e-04	1.928044e+00
5.424036944454136e-04	1.953759e+00
5.433541913680518e-04	1.987989e+00
5.443541913680519e-04	2.033538e+00
5.453541913680519e-04	2.090101e+00
5.463541913680519e-04	2.158098e+00
5.473541913680519e-04	2.237335e+00
5.483541913680520e-04	2.326369e+00
5.493541913680520e-04	2.422476e+00
5.503541913680520e-04	2.521872e+00
5.513541913680520e-04	2.620199e+00
5.523541913680521e-04	2.713322e+00
5.533541913680521e-04	2.797945e+00
5.543541913680521e-04	2.872015e+00
5.553541913680521e-04	2.934716e+00
5.563541913680522e-04	2.986233e+00
5.573541913680522e-04	3.027380e+00
5.583541913680522e-04	3.059267e+00
5.603541913680523e-04	3.099798e+00
5.613541913680523e-04	3.109912e+00
5.628216391182805e-04	3.114531e+00
5.637736759166425e-04	3.110960e+00
5.653205376270410e-04	3.093586e+00
5.674196130844686e-04	3.043284e+00
5.684196130844686e-04	3.006330e+00
5.686696130844687e-04	2.995270e+00
5.691696130844686e-04	2.971823e+00
5.701497225025676e-04	2.917511e+00
5.711388660410738e-04	2.851330e+00
5.721388660410738e-04	2.773153e+00
5.731388660410739e-04	2.684682e+00
5.741388660410739e-04	2.588555e+00
5.751388660410739e-04	2.488415e+00
5.761388660410739e-04	2.388603e+00
5.771388660410740e-04	2.293408e+00
5.781388660410740e-04	2.206310e+00
5.791388660410740e-04	2.129620e+00
5.801388660410740e-04	2.064345e+00
5.811388660410741e-04	2.010448e+00
5.821388660410741e-04	1.967178e+00
5.831388660410741e-04	1.933442e+00
5.851388660410742e-04	1.889881e+00
5.861388660410742e-04	1.878503e+00
5.877399276831263e-04	1.872139e+00
5.886406558538557e-04	1.874987e+00
5.901048993710253e-04	1.889843e+00
5.924625326305860e-04	1.944967e+00
5.934625326305860e-04	1.982280e+00
5.937125326305860e-04	1.993475e+00
5.942125326305860e-04	2.017211e+00
5.952125326305860e-04	2.073380e+00
5.962125326305861e-04	2.141328e+00
5.972125326305861e-04	2.220721e+00
5.982125326305861e-04	2.310447e+00
5.992125326305861e-04	2.407802e+00
6.002125326305862e-04	2.509069e+00
6.012125326305862e-04	2.609848e+00
6.022125326305862e-04	2.705822e+00
6.032125326305862e-04	2.793510e+00
6.042125326305863e-04	2.870622e+00
6.052125326305863e-04	2.936182e+00
6.062125326305863e-04	2.990253e+00
6.072125326305863e-04	3.033608e+00
6.082125326305863e-04	3.067352e+00
6.102125326305864e-04	3.110703e+00
6.112125326305864e-04	3.121856e+00
6.127679478085843e-04	3.127684e+00
6.136862725712003e-04	3.124509e+00
6.151788720864981e-04	3.108444e+00
6.171987510640974e-04	3.061883e+00
6.181987510640974e-04	3.026227e+00
6.184487510640975e-04	3.015513e+00
6.189487510640974e-04	2.992757e+00
6.199185496872739e-04	2.940392e+00
6.208981152573596e-04	2.876221e+00
6.218981152573596e-04	2.799151e+00
6.228981152573596e-04	2.711164e+00
6.238981152573597e-04	2.614633e+00
6.248981152573597e-04	2.513026e+00
6.258981152573597e-04	2.410676e+00
6.268981152573597e-04	2.312042e+00
6.278981152573598e-04	2.220918e+00
6.288981152573598e-04	2.139975e+00
6.298981152573598e-04	2.070540e+00
6.308981152573598e-04	2.012807e+00
6.318981152573598e-04	1.966144e+00
6.328981152573599e-04	1.929496e+00
6.338981152573599e-04	1.901669e+00
6.358981152573599e-04	1.868132e+00
6.368981152573600e-04	1.861137e+00
6.380259301286678e-04	1.860019e+00
6.391061412618747e-04	1.865906e+00
6.408584718026770e-04	1.891119e+00
6.418584718026770e-04	1.915248e+00
6.421715544378776e-04	1.924805e+00
6.427977197082788e-04	1.945746e+00
6.436788718078195e-04	1.982047e+00
6.446788718078195e-04	2.033466e+00
6.456788718078195e-04	2.096371e+00
6.466788718078195e-04	2.171360e+00
6.476788718078196e-04	2.257615e+00
6.486788718078196e-04	2.353250e+00
6.496788718078196e-04	2.455005e+00
6.506788718078196e-04	2.558633e+00
6.516788718078197e-04	2.659622e+00
6.526788718078197e-04	2.753880e+00
6.536788718078197e-04	2.838414e+00
6.546788718078197e-04	2.911532e+00
6.556788718078198e-04	2.972787e+00
6.566788718078198e-04	3.022633e+00
6.576788718078198e-04	3.062062e+00
6.586788718078198e-04	3.092258e+00
6.606788718078199e-04	3.129505e+00
6.616788718078199e-04	3.137946e+00
6.629438868060988e-04	3.140325e+00
6.639726445021900e-04	3.135256e+00
6.656426620525862e-04	3.112723e+00
6.666426620525862e-04	3.089816e+00
6.669317905281040e-04	3.081414e+00
6.675100474791395e-04	3.063094e+00
6.682744460972197e-04	3.033739e+00
6.692159023063053e-04	2.989050e+00
6.702159023063053e-04	2.930637e+00
6.712159023063054e-04	2.860102e+00
6.722159023063054e-04	2.777742e+00
6.732159023063054e-04	2.684921e+00
6.742159023063054e-04	2.584365e+00
6.752159023063055e-04	2.480010e+00
6.762159023063055e-04	2.376371e+00
6.772159023063055e-04	2.277864e+00
6.782159023063055e-04	2.188029e+00
6.792159023063056e-04	2.109149e+00
6.802159023063056e-04	2.042180e+00
6.812159023063056e-04	1.987008e+00
6.822159023063056e-04	1.942813e+00
6.832159023063057e-04	1.908446e+00
6.842159023063057e-04	1.882699e+00
6.862159023063057e-04	1.852905e+00
6.872159023063058e-04	1.847692e+00
6.881443682356763e-04	1.847974e+00
6.892987944475177e-04	1.855531e+00
6.911694100635895e-04	1.886381e+00
6.921694100635895e-04	1.913595e+00
6.925120639676074e-04	1.925331e+00
6.931973717756433e-04	1.951173e+00
6.940689261549346e-04	1.991541e+00
6.950689261549346e-04	2.048623e+00
6.960689261549346e-04	2.117624e+00
6.970689261549347e-04	2.198833e+00
6.980689261549347e-04	2.290883e+00
6.990689261549347e-04	2.391324e+00
7.000689261549347e-04	2.496369e+00
7.010689261549348e-04	2.601473e+00
7.020689261549348e-04	2.702139e+00
7.030689261549348e-04	2.794570e+00
7.040689261549348e-04	2.876246e+00
7.050689261549349e-04	2.945967e+00
7.060689261549349e-04	3.003695e+00
7.070689261549349e-04	3.050150e+00
7.080689261549349e-04	3.086461e+00
7.090689261549350e-04	3.113840e+00
7.110689261549350e-04	3.146153e+00
7.120689261549350e-04	3.152328e+00
7.130896453936536e-04	3.152610e+00
7.142097915974051e-04	3.145628e+00
7.160258387331375e-04	3.116645e+00
7.170258387331376e-04	3.090155e+00
7.173179570835150e-04	3.080469e+00
7.179021937842699e-04	3.059431e+00
7.186974543600200e-04	3.024905e+00
7.196600300602210e-04	2.973540e+00
7.206600300602211e-04	2.908555e+00
7.216600300602211e-04	2.831169e+00
7.226600300602211e-04	2.742209e+00
7.236600300602211e-04	2.643669e+00
7.246600300602211e-04	2.538910e+00
7.256600300602212e-04	2.432314e+00
7.266600300602212e-04	2.328516e+00
7.276600300602212e-04	2.231705e+00
7.286600300602212e-04	2.144936e+00
7.296600300602213e-04	2.069923e+00
7.306600300602213e-04	2.007106e+00
7.316600300602213e-04	1.956003e+00
7.326600300602213e-04	1.915587e+00
7.336600300602214e-04	1.884634e+00
7.356600300602214e-04	1.846427e+00
7.366600300602214e-04	1.837742e+00
7.379368192539707e-04	1.835259e+00
7.389611430734344e-04	1.840413e+00
7.406240564938508e-04	1.863264e+00
7.416240564938508e-04	1.886595e+00
7.419147848489549e-04	1.895208e+00
7.424962415591631e-04	1.914000e+00
7.433845247436418e-04	1.949423e+00
7.443845247436418e-04	1.999639e+00
7.453845247436419e-04	2.061573e+00
7.463845247436419e-04	2.136027e+00
7.473845247436419e-04	2.222496e+00
7.483845247436419e-04	2.319397e+00
7.493845247436420e-04	2.423710e+00
7.503845247436420e-04	2.531251e+00
7.513845247436420e-04	2.637346e+00
7.523845247436420e-04	2.737542e+00
7.533845247436420e-04	2.828381e+00
7.543845247436421e-04	2.907720e+00
7.553845247436421e-04	2.974765e+00
7.563845247436421e-04	3.029760e+00
7.573845247436421e-04	3.073620e+00
